"llid","ag","corn","developed","forage","forest","mixed crop","nonag","other","other ag","other non ag","pasture","soybeans","water","wetlands","wheat"
1642,48,6,4,2,43,NA,52,0,1,NA,22,16,3,2,1
1665,30,6,15,1,17,NA,70,NA,NA,NA,11,9,30,9,4
1689,52,19,10,9,16,NA,48,0,NA,NA,21,3,13,9,NA
1699,80,32,9,1,9,NA,20,0,1,NA,23,23,1,1,NA
1710,74,26,4,6,12,NA,26,0,NA,NA,24,18,5,5,NA
1714,70,37,5,3,14,NA,30,0,NA,NA,12,18,8,2,1
1726,42,7,5,3,11,NA,58,1,1,NA,19,11,24,17,1
1762,50,7,6,1,36,NA,50,1,NA,NA,32,9,4,3,1
1776,25,5,15,1,18,NA,75,0,NA,NA,16,3,40,2,NA
1777,37,7,26,4,12,NA,63,0,1,NA,24,1,13,12,NA
1807,45,12,10,3,22,NA,55,0,NA,NA,20,8,1,22,2
1808,39,12,10,4,26,NA,61,2,1,NA,15,5,10,14,1
1809,76,21,8,16,3,NA,24,1,1,NA,25,12,10,3,NA
1814,40,3,5,1,8,NA,60,0,NA,NA,30,5,42,5,1
1815,65,26,8,0,10,NA,35,2,6,NA,8,24,8,8,NA
1819,71,40,6,0,5,NA,29,0,2,NA,8,20,16,1,2
1821,65,12,6,0,27,NA,35,1,1,NA,17,35,1,NA,NA
1822,38,9,4,1,11,NA,62,2,NA,NA,16,11,41,5,NA
1837,67,17,6,0,4,NA,33,0,NA,NA,34,15,11,12,1
1889,66,19,8,13,10,NA,34,NA,2,NA,20,10,1,15,3
1901,37,9,11,5,6,NA,63,NA,NA,NA,17,3,25,22,3
1935,48,22,10,1,36,NA,52,0,9,NA,9,6,2,4,1
1942,63,23,4,1,9,NA,37,0,1,NA,16,22,21,3,NA
1947,41,3,11,0,39,NA,59,2,1,NA,29,6,7,1,1
2024,64,22,4,8,26,NA,36,1,1,NA,22,11,5,NA,NA
2031,39,8,9,0,34,NA,61,NA,1,1,20,9,13,5,1
2036,42,31,17,0,16,NA,58,1,NA,NA,7,3,16,9,NA
2042,45,19,24,3,16,NA,55,NA,NA,NA,15,3,8,7,6
2043,45,28,9,0,16,NA,55,0,6,NA,9,2,25,5,NA
2057,49,9,14,3,33,NA,51,1,1,NA,26,8,3,NA,2
2059,60,9,5,6,35,NA,40,0,1,NA,41,3,NA,NA,NA
2073,45,NA,10,1,29,NA,55,1,NA,NA,43,1,13,2,NA
2088,45,6,6,6,40,NA,55,2,2,NA,29,1,4,4,NA
2109,37,8,9,1,11,NA,63,1,NA,1,21,6,40,2,NA
2110,67,19,7,5,16,NA,33,NA,NA,NA,17,20,1,10,6
2154,49,9,7,0,17,NA,51,NA,NA,NA,24,16,26,2,NA
2167,57,14,7,3,20,NA,43,NA,NA,NA,24,16,17,NA,NA
2209,39,8,19,4,12,NA,61,NA,1,NA,16,9,17,13,2
2224,71,11,3,0,9,NA,29,NA,NA,NA,12,48,11,7,NA
2226,63,15,8,1,25,1,37,0,1,NA,15,24,4,NA,6
2256,44,23,8,2,39,NA,56,1,1,NA,12,5,5,4,NA
2272,76,33,6,5,12,NA,24,2,6,NA,15,10,1,4,6
2276,46,6,4,7,47,NA,54,1,NA,NA,31,2,2,NA,NA
2287,60,28,5,1,8,NA,40,1,NA,NA,13,17,23,3,1
2289,51,10,9,3,14,NA,49,NA,11,NA,23,4,17,10,NA
2316,47,8,3,0,31,NA,53,0,NA,NA,25,11,19,NA,3
2335,36,6,15,3,14,NA,64,NA,3,NA,14,9,25,10,2
2339,35,13,12,4,18,NA,65,NA,NA,NA,12,2,29,7,4
2350,78,27,6,1,14,1,22,NA,1,NA,15,32,2,NA,2
2359,55,13,10,10,32,NA,45,NA,4,NA,20,9,2,1,NA
2376,82,58,4,0,3,NA,18,0,5,NA,5,13,11,1,NA
2414,56,9,7,1,36,NA,44,0,1,NA,28,16,1,NA,1
2417,50,16,25,3,8,NA,50,1,5,NA,9,14,4,13,2
2456,58,23,13,2,12,NA,42,1,12,NA,19,2,12,4,NA
2457,41,14,32,9,8,NA,59,0,5,NA,9,3,15,4,1
2483,69,23,5,1,7,NA,31,0,NA,NA,16,26,13,5,4
2484,56,19,4,7,17,NA,44,NA,3,NA,23,4,9,14,1
2490,48,25,5,0,9,NA,52,0,NA,NA,17,6,30,8,NA
2510,47,12,16,4,27,NA,53,0,8,NA,16,5,1,10,1
2517,66,20,7,10,22,NA,34,0,5,NA,20,12,NA,4,NA
2525,46,21,6,7,26,NA,54,NA,NA,NA,16,3,8,14,NA
2573,57,14,12,1,18,NA,43,0,2,NA,18,17,6,6,6
2575,42,16,22,2,25,NA,58,2,2,NA,15,6,1,8,1
2579,1,NA,1,NA,NA,NA,99,1,NA,NA,1,NA,97,NA,NA
2584,56,18,15,1,16,NA,44,NA,NA,1,19,19,9,3,NA
2589,44,16,7,3,18,NA,56,0,NA,NA,12,10,30,1,3
2590,44,1,7,1,34,NA,56,NA,33,NA,10,NA,13,2,NA
2613,76,37,17,1,3,NA,24,1,1,NA,13,24,1,2,NA
2617,31,23,20,1,10,NA,69,0,NA,NA,6,2,22,16,NA
2646,44,25,10,4,14,NA,56,NA,6,NA,8,2,22,10,NA
2651,63,15,4,9,31,NA,37,0,1,NA,31,6,2,NA,1
2656,50,11,11,2,20,NA,50,0,15,NA,19,2,4,14,2
2678,48,16,10,5,19,NA,52,NA,2,NA,20,3,12,11,3
2691,48,13,5,5,20,NA,52,2,2,NA,19,7,25,1,1
2709,54,6,9,3,19,NA,46,1,NA,NA,42,3,2,15,NA
2717,42,14,7,8,19,NA,58,NA,2,NA,8,7,4,28,4
2718,31,3,8,0,18,NA,69,2,NA,NA,17,10,41,1,NA
2736,62,36,9,2,12,NA,38,NA,1,NA,13,12,11,6,NA
2737,24,9,6,7,16,NA,76,0,NA,NA,4,4,34,20,NA
2743,32,4,6,1,24,NA,68,1,NA,NA,19,4,33,5,3
2745,57,9,11,3,27,NA,43,0,1,NA,32,11,5,NA,1
2746,34,11,6,5,29,NA,66,0,NA,NA,11,7,29,2,NA
2763,61,17,8,9,5,NA,39,0,2,NA,16,12,14,12,5
2784,85,31,6,1,9,1,15,0,1,NA,11,39,NA,NA,1
2786,45,14,7,6,37,NA,55,0,1,1,17,7,2,7,1
2793,68,17,6,2,7,NA,32,0,NA,1,31,17,2,16,1
2824,80,28,4,6,11,NA,20,0,1,NA,32,12,1,4,1
2830,66,27,6,0,5,2,34,0,NA,1,21,16,4,18,NA
2861,88,30,5,1,6,NA,12,1,1,NA,13,38,1,NA,4
2873,62,27,6,5,19,NA,38,0,17,NA,10,2,2,11,1
2878,47,14,9,8,15,NA,53,2,1,NA,14,7,18,10,2
2913,37,8,9,1,23,NA,63,0,NA,NA,15,13,29,2,NA
2919,70,12,5,4,11,NA,30,1,2,NA,41,8,9,5,2
2922,56,19,3,9,39,NA,44,2,1,NA,18,8,1,NA,NA
2959,61,20,5,19,17,NA,39,1,2,NA,18,2,8,8,NA
2981,46,10,6,1,27,NA,54,2,NA,NA,27,3,11,9,4
3002,81,26,8,3,8,NA,19,1,NA,NA,8,37,2,NA,7
3007,63,15,8,1,26,NA,37,NA,1,NA,20,23,3,NA,4
3057,50,10,7,3,31,NA,50,NA,3,NA,27,7,7,6,NA
3069,46,9,10,1,14,NA,54,1,NA,NA,20,13,24,5,3
3080,41,10,7,5,34,NA,59,0,9,NA,15,2,13,5,NA
3108,49,3,6,3,43,NA,51,1,NA,NA,39,3,2,NA,NA
3152,61,31,19,2,6,NA,39,1,1,NA,6,20,11,2,1
3163,83,34,6,1,4,NA,17,NA,NA,NA,14,34,3,5,NA
3172,75,31,7,1,15,NA,25,0,1,NA,14,28,1,1,1
3227,55,17,6,1,17,NA,45,2,3,NA,17,11,9,12,5
3246,43,12,10,6,9,NA,57,NA,2,NA,8,7,23,16,8
3281,50,12,9,3,11,NA,50,NA,4,NA,27,4,19,11,1
3307,50,5,13,1,20,NA,50,1,NA,NA,37,4,4,13,2
3316,75,30,5,3,9,NA,25,NA,NA,NA,21,20,8,4,1
3384,83,32,5,4,5,NA,17,1,NA,NA,20,26,2,4,1
3386,74,19,10,1,15,NA,26,1,1,NA,9,36,1,NA,7
3395,75,38,7,3,5,NA,25,NA,5,NA,3,24,9,5,3
3406,59,5,6,11,14,NA,41,0,7,NA,5,27,4,18,3
3416,77,28,5,4,15,NA,23,NA,36,NA,8,2,1,2,1
3423,53,6,8,1,36,NA,47,0,6,NA,27,12,3,NA,1
3427,42,13,5,11,44,NA,58,0,10,NA,4,4,3,6,NA
3434,60,15,7,4,11,NA,40,0,NA,NA,19,22,17,5,NA
3441,75,50,3,0,3,NA,25,1,6,NA,4,15,17,1,NA
3452,61,24,11,5,3,NA,39,1,NA,NA,7,19,24,NA,6
3490,51,23,11,7,8,NA,49,0,2,NA,9,6,15,15,4
3508,40,12,6,17,44,NA,60,NA,4,NA,4,4,4,6,1
3512,47,12,7,11,26,NA,53,0,4,NA,16,NA,9,11,4
3523,66,23,8,5,20,NA,34,2,1,NA,23,13,4,1,NA
3528,47,8,20,1,5,NA,53,1,NA,NA,18,19,27,1,NA
3578,84,47,11,1,2,NA,16,0,1,NA,9,26,1,2,NA
3625,32,7,11,5,13,NA,68,1,NA,NA,16,4,42,1,NA
3632,58,26,5,0,1,NA,42,NA,NA,NA,6,27,34,2,NA
3641,47,15,13,0,2,NA,53,0,NA,NA,6,26,30,8,NA
3673,47,4,4,1,9,NA,53,NA,1,2,35,5,34,5,1
3683,64,22,5,21,24,NA,36,NA,2,NA,19,1,7,1,NA
3711,44,9,5,2,17,NA,56,NA,NA,NA,21,8,32,3,5
3726,36,6,5,7,8,NA,64,0,NA,NA,16,7,36,15,NA
3751,74,31,8,7,7,NA,26,0,18,NA,8,5,4,8,4
3761,69,27,9,2,8,NA,31,0,5,NA,15,5,11,3,15
3784,33,NA,11,0,17,NA,67,1,3,NA,30,NA,35,3,NA
3802,55,4,3,4,16,NA,45,0,NA,1,29,17,20,5,1
3825,64,21,14,0,17,NA,36,NA,1,NA,24,18,4,1,1
3866,42,8,9,2,48,NA,58,0,1,NA,20,9,1,NA,2
3875,47,15,9,1,24,NA,53,1,NA,NA,18,12,16,4,NA
3892,47,17,6,4,21,NA,53,0,NA,NA,24,1,26,1,NA
3911,54,3,6,1,9,NA,46,0,NA,1,47,3,7,23,NA
3942,34,8,12,1,9,NA,66,NA,NA,NA,19,4,43,3,2
3959,55,25,5,6,23,NA,45,0,2,NA,15,6,15,2,1
3986,73,25,8,2,11,NA,27,0,NA,NA,13,30,8,NA,3
3991,46,19,13,0,11,NA,54,1,NA,NA,10,15,24,6,1
4002,37,11,12,7,3,NA,63,0,1,NA,9,6,41,7,3
4011,49,15,10,0,17,NA,51,2,NA,NA,20,12,20,3,1
4031,53,11,10,1,36,NA,47,1,1,NA,22,15,1,NA,2
4033,53,13,13,3,15,NA,47,1,4,NA,19,12,6,13,1
4061,77,22,5,2,10,NA,23,0,1,NA,26,23,4,4,3
4070,74,22,7,10,10,NA,26,NA,15,NA,14,8,4,5,6
4119,36,6,16,2,14,NA,64,1,4,NA,22,1,24,10,NA
