"code","description","category","is_ag","is_natural","is_small_grain","is_nfixer","is_forage"
237,"Dbl Crop Barley/Corn","other ag","ag","nonnatural",NA,NA,NA
238,"Dbl Crop WinWht/Cotton","other ag","ag","nonnatural",NA,NA,NA
239,"Dbl Crop Soybeans/Cotton","other ag","ag","nonnatural",NA,"nfixer",NA
240,"Dbl Crop Soybeans/Oats","other ag","ag","nonnatural",NA,"nfixer",NA
241,"Dbl Crop Corn/Soybeans","other ag","ag","nonnatural",NA,"nfixer",NA
242,"Blueberries","other ag","ag","nonnatural",NA,NA,NA
243,"Cabbage","other ag","ag","nonnatural",NA,NA,NA
244,"Cauliflower","other ag","ag","nonnatural",NA,NA,NA
245,"Celery","other ag","ag","nonnatural",NA,NA,NA
246,"Radishes","other ag","ag","nonnatural",NA,NA,NA
247,"Turnips","other ag","ag","nonnatural",NA,NA,NA
248,"Eggplants","other ag","ag","nonnatural",NA,NA,NA
249,"Gourds","other ag","ag","nonnatural",NA,NA,NA
250,"Cranberries","other ag","ag","nonnatural",NA,NA,NA
251,"Non-Irrigated Corn","corn","ag","nonnatural",NA,NA,NA
252,"Non-Irrigated Soybeans","soybeans","ag","nonnatural",NA,"nfixer",NA
253,"Non-Irrigated Winter Wheat","wheat","ag","nonnatural","smallgrain",NA,NA
254,"Dbl Crop Barley/Soybeans","other ag","ag","nonnatural",NA,"nfixer",NA
255,"Non-Irrigated Dbl. Crop Winter Wheat Soybeans","wheat","ag","nonnatural","smallgrain","nfixer",NA
0,"Background","background","nonag","natural",NA,NA,NA
63,"Forest","forest","nonag","natural",NA,NA,NA
64,"Shrubland","other non ag","nonag","natural",NA,NA,NA
65,"Barren","other non ag","nonag","natural",NA,NA,NA
81,"Clouds/No Data","other non ag","nonag","natural",NA,NA,NA
82,"Developed","developed","nonag","nonnatural",NA,NA,NA
83,"Water","water","nonag","natural",NA,NA,NA
87,"Wetlands","wetlands","nonag","natural",NA,NA,NA
88,"Nonag/Undefined","other non ag","nonag","natural",NA,NA,NA
92,"Aquaculture","other non ag","nonag","natural",NA,NA,NA
111,"Open Water","water","nonag","natural",NA,NA,NA
112,"Perennial Ice/Snow","other non ag","nonag","natural",NA,NA,NA
121,"Developed/Open Space","developed","nonag","nonnatural",NA,NA,NA
122,"Developed/Low Intensity","developed","nonag","nonnatural",NA,NA,NA
123,"Developed/Med Intensity","developed","nonag","nonnatural",NA,NA,NA
124,"Developed/High Intensity","developed","nonag","nonnatural",NA,NA,NA
131,"Barren","other non ag","nonag","natural",NA,NA,NA
141,"Deciduous Forest","forest","nonag","natural",NA,NA,NA
142,"Evergreen Forest","forest","nonag","natural",NA,NA,NA
143,"Mixed Forest","forest","nonag","natural",NA,NA,NA
152,"Shrubland","other non ag","nonag","natural",NA,NA,NA
171,"Grassland Herbaceous","other non ag","nonag","natural",NA,NA,NA
190,"Woody Wetlands","wetlands","nonag","natural",NA,NA,NA
195,"Herbaceous Wetlands","wetlands","nonag","natural",NA,NA,NA
