"24",1,"developed","Developed, High Intensity","#AA0000","2873"
"31",10,"barren","Barren Land (Rock/Sand/Clay)","#B2ADA3","2873"
"41",183,"forest","Deciduous Forest","#68AA63","2873"
"52",28,"shrubland","Scrub/Shrub","#CCBA7C","2873"
"71",2,"herbaceous","Grassland/Herbaceous","#E2E2C1","2873"
"81",50,"planted","Pasture/Hay","#DBD83D","2873"
"82",558,"planted","Cultivated Crops","#AA7028","2873"
"90",338,"wetlands","Woody Wetlands","#BAD8EA","2873"
"code","n","class","description","color","llid"
NA,NA,NA,NA,NA,"2590"
"code","n","class","description","color","llid"
"21",342,"developed","Developed, Open Space","#DDC9C9","3172"
"22",36,"developed","Developed, Low Intensity","#D89382","3172"
"23",3,"developed","Developed, Medium Intensity","#ED0000","3172"
"41",2330,"forest","Deciduous Forest","#68AA63","3172"
"42",41,"forest","Evergreen Forest","#1C6330","3172"
"52",21,"shrubland","Scrub/Shrub","#CCBA7C","3172"
"71",62,"herbaceous","Grassland/Herbaceous","#E2E2C1","3172"
"81",623,"planted","Pasture/Hay","#DBD83D","3172"
"82",5908,"planted","Cultivated Crops","#AA7028","3172"
"90",33,"wetlands","Woody Wetlands","#BAD8EA","3172"
"95",369,"wetlands","Emergent Herbaceous Wetlands","#70A3BA","3172"
"code","n","class","description","color","llid"
"21",199,"developed","Developed, Open Space","#DDC9C9","1776"
"22",28,"developed","Developed, Low Intensity","#D89382","1776"
"23",15,"developed","Developed, Medium Intensity","#ED0000","1776"
"41",453,"forest","Deciduous Forest","#68AA63","1776"
"42",10,"forest","Evergreen Forest","#1C6330","1776"
"52",25,"shrubland","Scrub/Shrub","#CCBA7C","1776"
"71",35,"herbaceous","Grassland/Herbaceous","#E2E2C1","1776"
"81",101,"planted","Pasture/Hay","#DBD83D","1776"
"82",607,"planted","Cultivated Crops","#AA7028","1776"
"90",40,"wetlands","Woody Wetlands","#BAD8EA","1776"
"95",22,"wetlands","Emergent Herbaceous Wetlands","#70A3BA","1776"
"code","n","class","description","color","llid"
"21",158,"developed","Developed, Open Space","#DDC9C9","7031"
"22",18,"developed","Developed, Low Intensity","#D89382","7031"
"23",8,"developed","Developed, Medium Intensity","#ED0000","7031"
"41",903,"forest","Deciduous Forest","#68AA63","7031"
"42",7,"forest","Evergreen Forest","#1C6330","7031"
"81",438,"planted","Pasture/Hay","#DBD83D","7031"
"82",860,"planted","Cultivated Crops","#AA7028","7031"
"code","n","class","description","color","llid"
"21",402,"developed","Developed, Open Space","#DDC9C9","7004"
"22",216,"developed","Developed, Low Intensity","#D89382","7004"
"23",19,"developed","Developed, Medium Intensity","#ED0000","7004"
"24",4,"developed","Developed, High Intensity","#AA0000","7004"
"31",7,"barren","Barren Land (Rock/Sand/Clay)","#B2ADA3","7004"
"41",429,"forest","Deciduous Forest","#68AA63","7004"
"71",49,"herbaceous","Grassland/Herbaceous","#E2E2C1","7004"
"81",310,"planted","Pasture/Hay","#DBD83D","7004"
"82",4725,"planted","Cultivated Crops","#AA7028","7004"
"90",5,"wetlands","Woody Wetlands","#BAD8EA","7004"
"code","n","class","description","color","llid"
NA,NA,NA,NA,NA,"40797"
"code","n","class","description","color","llid"
"21",126,"developed","Developed, Open Space","#DDC9C9","3406"
"22",34,"developed","Developed, Low Intensity","#D89382","3406"
"41",110,"forest","Deciduous Forest","#68AA63","3406"
"42",7,"forest","Evergreen Forest","#1C6330","3406"
"43",3,"forest","Mixed Forest","#B5C98E","3406"
"71",1,"herbaceous","Grassland/Herbaceous","#E2E2C1","3406"
"81",65,"planted","Pasture/Hay","#DBD83D","3406"
"82",388,"planted","Cultivated Crops","#AA7028","3406"
"90",629,"wetlands","Woody Wetlands","#BAD8EA","3406"
"95",40,"wetlands","Emergent Herbaceous Wetlands","#70A3BA","3406"
"code","n","class","description","color","llid"
"21",12556,"developed","Developed, Open Space","#DDC9C9","480"
"22",6522,"developed","Developed, Low Intensity","#D89382","480"
"23",2263,"developed","Developed, Medium Intensity","#ED0000","480"
"24",642,"developed","Developed, High Intensity","#AA0000","480"
"31",404,"barren","Barren Land (Rock/Sand/Clay)","#B2ADA3","480"
"41",15855,"forest","Deciduous Forest","#68AA63","480"
"42",392,"forest","Evergreen Forest","#1C6330","480"
"43",512,"forest","Mixed Forest","#B5C98E","480"
"52",200,"shrubland","Scrub/Shrub","#CCBA7C","480"
"71",1249,"herbaceous","Grassland/Herbaceous","#E2E2C1","480"
"81",6032,"planted","Pasture/Hay","#DBD83D","480"
"82",4703,"planted","Cultivated Crops","#AA7028","480"
"90",33711,"wetlands","Woody Wetlands","#BAD8EA","480"
"95",5393,"wetlands","Emergent Herbaceous Wetlands","#70A3BA","480"
"code","n","class","description","color","llid"
NA,NA,NA,NA,NA,"106073"
"code","n","class","description","color","llid"
NA,NA,NA,NA,NA,"10397"
"code","n","class","description","color","llid"
"21",162,"developed","Developed, Open Space","#DDC9C9","7005"
"22",44,"developed","Developed, Low Intensity","#D89382","7005"
"23",2,"developed","Developed, Medium Intensity","#ED0000","7005"
"41",2495,"forest","Deciduous Forest","#68AA63","7005"
"81",335,"planted","Pasture/Hay","#DBD83D","7005"
"82",1212,"planted","Cultivated Crops","#AA7028","7005"
"code","n","class","description","color","llid"
NA,NA,NA,NA,NA,"1822"
"code","n","class","description","color","llid"
"21",1728,"developed","Developed, Open Space","#DDC9C9","2709"
"22",1124,"developed","Developed, Low Intensity","#D89382","2709"
"23",527,"developed","Developed, Medium Intensity","#ED0000","2709"
"24",61,"developed","Developed, High Intensity","#AA0000","2709"
"41",3045,"forest","Deciduous Forest","#68AA63","2709"
"42",190,"forest","Evergreen Forest","#1C6330","2709"
"43",22,"forest","Mixed Forest","#B5C98E","2709"
"52",258,"shrubland","Scrub/Shrub","#CCBA7C","2709"
"71",781,"herbaceous","Grassland/Herbaceous","#E2E2C1","2709"
"81",3285,"planted","Pasture/Hay","#DBD83D","2709"
"82",3485,"planted","Cultivated Crops","#AA7028","2709"
"90",174,"wetlands","Woody Wetlands","#BAD8EA","2709"
"95",7327,"wetlands","Emergent Herbaceous Wetlands","#70A3BA","2709"
"code","n","class","description","color","llid"
"21",4,"developed","Developed, Open Space","#DDC9C9","3307"
"22",4,"developed","Developed, Low Intensity","#D89382","3307"
"41",32,"forest","Deciduous Forest","#68AA63","3307"
"71",3,"herbaceous","Grassland/Herbaceous","#E2E2C1","3307"
"81",7,"planted","Pasture/Hay","#DBD83D","3307"
"95",132,"wetlands","Emergent Herbaceous Wetlands","#70A3BA","3307"
"code","n","class","description","color","llid"
"21",66,"developed","Developed, Open Space","#DDC9C9","7027"
"22",11,"developed","Developed, Low Intensity","#D89382","7027"
"41",934,"forest","Deciduous Forest","#68AA63","7027"
"42",9,"forest","Evergreen Forest","#1C6330","7027"
"71",15,"herbaceous","Grassland/Herbaceous","#E2E2C1","7027"
"81",440,"planted","Pasture/Hay","#DBD83D","7027"
"82",697,"planted","Cultivated Crops","#AA7028","7027"
"95",4,"wetlands","Emergent Herbaceous Wetlands","#70A3BA","7027"
"code","n","class","description","color","llid"
NA,NA,NA,NA,NA,"57638"
"code","n","class","description","color","llid"
NA,NA,NA,NA,NA,"121869"
"code","n","class","description","color","llid"
NA,NA,NA,NA,NA,"65948"
"code","n","class","description","color","llid"
NA,NA,NA,NA,NA,"9971"
"code","n","class","description","color","llid"
"21",51,"developed","Developed, Open Space","#DDC9C9","687"
"22",22,"developed","Developed, Low Intensity","#D89382","687"
"23",1,"developed","Developed, Medium Intensity","#ED0000","687"
"41",126,"forest","Deciduous Forest","#68AA63","687"
"52",12,"shrubland","Scrub/Shrub","#CCBA7C","687"
"71",61,"herbaceous","Grassland/Herbaceous","#E2E2C1","687"
"81",388,"planted","Pasture/Hay","#DBD83D","687"
"82",596,"planted","Cultivated Crops","#AA7028","687"
"90",6,"wetlands","Woody Wetlands","#BAD8EA","687"
"95",29,"wetlands","Emergent Herbaceous Wetlands","#70A3BA","687"
"code","n","class","description","color","llid"
"21",419,"developed","Developed, Open Space","#DDC9C9","7051"
"22",237,"developed","Developed, Low Intensity","#D89382","7051"
"23",30,"developed","Developed, Medium Intensity","#ED0000","7051"
"24",4,"developed","Developed, High Intensity","#AA0000","7051"
"31",7,"barren","Barren Land (Rock/Sand/Clay)","#B2ADA3","7051"
"41",539,"forest","Deciduous Forest","#68AA63","7051"
"71",54,"herbaceous","Grassland/Herbaceous","#E2E2C1","7051"
"81",310,"planted","Pasture/Hay","#DBD83D","7051"
"82",4992,"planted","Cultivated Crops","#AA7028","7051"
"90",5,"wetlands","Woody Wetlands","#BAD8EA","7051"
"code","n","class","description","color","llid"
"21",876,"developed","Developed, Open Space","#DDC9C9","3825"
"22",194,"developed","Developed, Low Intensity","#D89382","3825"
"23",19,"developed","Developed, Medium Intensity","#ED0000","3825"
"31",34,"barren","Barren Land (Rock/Sand/Clay)","#B2ADA3","3825"
"41",2664,"forest","Deciduous Forest","#68AA63","3825"
"52",75,"shrubland","Scrub/Shrub","#CCBA7C","3825"
"71",16,"herbaceous","Grassland/Herbaceous","#E2E2C1","3825"
"81",23,"planted","Pasture/Hay","#DBD83D","3825"
"82",7668,"planted","Cultivated Crops","#AA7028","3825"
"90",260,"wetlands","Woody Wetlands","#BAD8EA","3825"
"95",148,"wetlands","Emergent Herbaceous Wetlands","#70A3BA","3825"
"code","n","class","description","color","llid"
"21",107,"developed","Developed, Open Space","#DDC9C9","33602"
"22",62,"developed","Developed, Low Intensity","#D89382","33602"
"23",34,"developed","Developed, Medium Intensity","#ED0000","33602"
"24",3,"developed","Developed, High Intensity","#AA0000","33602"
"41",189,"forest","Deciduous Forest","#68AA63","33602"
"42",16,"forest","Evergreen Forest","#1C6330","33602"
"52",95,"shrubland","Scrub/Shrub","#CCBA7C","33602"
"71",48,"herbaceous","Grassland/Herbaceous","#E2E2C1","33602"
"81",579,"planted","Pasture/Hay","#DBD83D","33602"
"82",264,"planted","Cultivated Crops","#AA7028","33602"
"95",133,"wetlands","Emergent Herbaceous Wetlands","#70A3BA","33602"
"code","n","class","description","color","llid"
"21",79,"developed","Developed, Open Space","#DDC9C9","7033"
"22",13,"developed","Developed, Low Intensity","#D89382","7033"
"23",8,"developed","Developed, Medium Intensity","#ED0000","7033"
"41",1499,"forest","Deciduous Forest","#68AA63","7033"
"71",4,"herbaceous","Grassland/Herbaceous","#E2E2C1","7033"
"81",129,"planted","Pasture/Hay","#DBD83D","7033"
"82",690,"planted","Cultivated Crops","#AA7028","7033"
"code","n","class","description","color","llid"
NA,NA,NA,NA,NA,"6984"
"code","n","class","description","color","llid"
"21",31,"developed","Developed, Open Space","#DDC9C9","4200"
"22",14,"developed","Developed, Low Intensity","#D89382","4200"
"23",2,"developed","Developed, Medium Intensity","#ED0000","4200"
"41",170,"forest","Deciduous Forest","#68AA63","4200"
"42",5,"forest","Evergreen Forest","#1C6330","4200"
"52",66,"shrubland","Scrub/Shrub","#CCBA7C","4200"
"71",44,"herbaceous","Grassland/Herbaceous","#E2E2C1","4200"
"81",126,"planted","Pasture/Hay","#DBD83D","4200"
"82",290,"planted","Cultivated Crops","#AA7028","4200"
"95",576,"wetlands","Emergent Herbaceous Wetlands","#70A3BA","4200"
"code","n","class","description","color","llid"
"21",285,"developed","Developed, Open Space","#DDC9C9","6982"
"22",272,"developed","Developed, Low Intensity","#D89382","6982"
"23",30,"developed","Developed, Medium Intensity","#ED0000","6982"
"24",1,"developed","Developed, High Intensity","#AA0000","6982"
"41",1172,"forest","Deciduous Forest","#68AA63","6982"
"71",6,"herbaceous","Grassland/Herbaceous","#E2E2C1","6982"
"81",315,"planted","Pasture/Hay","#DBD83D","6982"
"82",4831,"planted","Cultivated Crops","#AA7028","6982"
"95",12,"wetlands","Emergent Herbaceous Wetlands","#70A3BA","6982"
"code","n","class","description","color","llid"
"21",88,"developed","Developed, Open Space","#DDC9C9","1437"
"22",18,"developed","Developed, Low Intensity","#D89382","1437"
"23",2,"developed","Developed, Medium Intensity","#ED0000","1437"
"41",558,"forest","Deciduous Forest","#68AA63","1437"
"42",11,"forest","Evergreen Forest","#1C6330","1437"
"52",1,"shrubland","Scrub/Shrub","#CCBA7C","1437"
"71",1,"herbaceous","Grassland/Herbaceous","#E2E2C1","1437"
"81",290,"planted","Pasture/Hay","#DBD83D","1437"
"82",2155,"planted","Cultivated Crops","#AA7028","1437"
"90",55,"wetlands","Woody Wetlands","#BAD8EA","1437"
"95",7,"wetlands","Emergent Herbaceous Wetlands","#70A3BA","1437"
"code","n","class","description","color","llid"
"21",45,"developed","Developed, Open Space","#DDC9C9","2376"
"22",31,"developed","Developed, Low Intensity","#D89382","2376"
"23",23,"developed","Developed, Medium Intensity","#ED0000","2376"
"24",4,"developed","Developed, High Intensity","#AA0000","2376"
"41",19,"forest","Deciduous Forest","#68AA63","2376"
"71",2,"herbaceous","Grassland/Herbaceous","#E2E2C1","2376"
"81",78,"planted","Pasture/Hay","#DBD83D","2376"
"82",2047,"planted","Cultivated Crops","#AA7028","2376"
"code","n","class","description","color","llid"
"21",492,"developed","Developed, Open Space","#DDC9C9","1762"
"22",314,"developed","Developed, Low Intensity","#D89382","1762"
"23",82,"developed","Developed, Medium Intensity","#ED0000","1762"
"24",17,"developed","Developed, High Intensity","#AA0000","1762"
"41",4010,"forest","Deciduous Forest","#68AA63","1762"
"42",47,"forest","Evergreen Forest","#1C6330","1762"
"43",25,"forest","Mixed Forest","#B5C98E","1762"
"52",212,"shrubland","Scrub/Shrub","#CCBA7C","1762"
"71",1900,"herbaceous","Grassland/Herbaceous","#E2E2C1","1762"
"81",3035,"planted","Pasture/Hay","#DBD83D","1762"
"82",8960,"planted","Cultivated Crops","#AA7028","1762"
"90",50,"wetlands","Woody Wetlands","#BAD8EA","1762"
"95",980,"wetlands","Emergent Herbaceous Wetlands","#70A3BA","1762"
"code","n","class","description","color","llid"
"21",245,"developed","Developed, Open Space","#DDC9C9","954"
"22",107,"developed","Developed, Low Intensity","#D89382","954"
"23",16,"developed","Developed, Medium Intensity","#ED0000","954"
"24",2,"developed","Developed, High Intensity","#AA0000","954"
"31",18,"barren","Barren Land (Rock/Sand/Clay)","#B2ADA3","954"
"41",535,"forest","Deciduous Forest","#68AA63","954"
"42",6,"forest","Evergreen Forest","#1C6330","954"
"43",40,"forest","Mixed Forest","#B5C98E","954"
"52",7,"shrubland","Scrub/Shrub","#CCBA7C","954"
"71",5,"herbaceous","Grassland/Herbaceous","#E2E2C1","954"
"81",55,"planted","Pasture/Hay","#DBD83D","954"
"82",973,"planted","Cultivated Crops","#AA7028","954"
"90",808,"wetlands","Woody Wetlands","#BAD8EA","954"
"95",359,"wetlands","Emergent Herbaceous Wetlands","#70A3BA","954"
"code","n","class","description","color","llid"
"21",3766,"developed","Developed, Open Space","#DDC9C9","7003"
"22",2058,"developed","Developed, Low Intensity","#D89382","7003"
"23",100,"developed","Developed, Medium Intensity","#ED0000","7003"
"24",16,"developed","Developed, High Intensity","#AA0000","7003"
"31",4,"barren","Barren Land (Rock/Sand/Clay)","#B2ADA3","7003"
"41",15007,"forest","Deciduous Forest","#68AA63","7003"
"42",31,"forest","Evergreen Forest","#1C6330","7003"
"71",272,"herbaceous","Grassland/Herbaceous","#E2E2C1","7003"
"81",3464,"planted","Pasture/Hay","#DBD83D","7003"
"82",78773,"planted","Cultivated Crops","#AA7028","7003"
"90",851,"wetlands","Woody Wetlands","#BAD8EA","7003"
"95",10,"wetlands","Emergent Herbaceous Wetlands","#70A3BA","7003"
"code","n","class","description","color","llid"
"21",289,"developed","Developed, Open Space","#DDC9C9","6946"
"22",63,"developed","Developed, Low Intensity","#D89382","6946"
"41",142,"forest","Deciduous Forest","#68AA63","6946"
"71",6,"herbaceous","Grassland/Herbaceous","#E2E2C1","6946"
"81",11,"planted","Pasture/Hay","#DBD83D","6946"
"82",3141,"planted","Cultivated Crops","#AA7028","6946"
"code","n","class","description","color","llid"
"21",875,"developed","Developed, Open Space","#DDC9C9","6983"
"22",572,"developed","Developed, Low Intensity","#D89382","6983"
"23",39,"developed","Developed, Medium Intensity","#ED0000","6983"
"24",1,"developed","Developed, High Intensity","#AA0000","6983"
"41",2628,"forest","Deciduous Forest","#68AA63","6983"
"71",37,"herbaceous","Grassland/Herbaceous","#E2E2C1","6983"
"81",864,"planted","Pasture/Hay","#DBD83D","6983"
"82",12251,"planted","Cultivated Crops","#AA7028","6983"
"95",12,"wetlands","Emergent Herbaceous Wetlands","#70A3BA","6983"
"code","n","class","description","color","llid"
NA,NA,NA,NA,NA,"137728"
"code","n","class","description","color","llid"
"21",17,"developed","Developed, Open Space","#DDC9C9","7453"
"22",2,"developed","Developed, Low Intensity","#D89382","7453"
"41",63,"forest","Deciduous Forest","#68AA63","7453"
"81",313,"planted","Pasture/Hay","#DBD83D","7453"
"code","n","class","description","color","llid"
"21",75,"developed","Developed, Open Space","#DDC9C9","4011"
"22",46,"developed","Developed, Low Intensity","#D89382","4011"
"23",6,"developed","Developed, Medium Intensity","#ED0000","4011"
"41",149,"forest","Deciduous Forest","#68AA63","4011"
"42",7,"forest","Evergreen Forest","#1C6330","4011"
"43",4,"forest","Mixed Forest","#B5C98E","4011"
"52",2,"shrubland","Scrub/Shrub","#CCBA7C","4011"
"71",136,"herbaceous","Grassland/Herbaceous","#E2E2C1","4011"
"81",231,"planted","Pasture/Hay","#DBD83D","4011"
"82",1453,"planted","Cultivated Crops","#AA7028","4011"
"95",173,"wetlands","Emergent Herbaceous Wetlands","#70A3BA","4011"
"code","n","class","description","color","llid"
NA,NA,NA,NA,NA,"557"
"code","n","class","description","color","llid"
NA,NA,NA,NA,NA,"102826"
"code","n","class","description","color","llid"
"21",45,"developed","Developed, Open Space","#DDC9C9","6487"
"22",5,"developed","Developed, Low Intensity","#D89382","6487"
"23",6,"developed","Developed, Medium Intensity","#ED0000","6487"
"24",1,"developed","Developed, High Intensity","#AA0000","6487"
"41",139,"forest","Deciduous Forest","#68AA63","6487"
"71",22,"herbaceous","Grassland/Herbaceous","#E2E2C1","6487"
"81",80,"planted","Pasture/Hay","#DBD83D","6487"
"82",54,"planted","Cultivated Crops","#AA7028","6487"
"95",4,"wetlands","Emergent Herbaceous Wetlands","#70A3BA","6487"
"code","n","class","description","color","llid"
"21",44,"developed","Developed, Open Space","#DDC9C9","902"
"22",17,"developed","Developed, Low Intensity","#D89382","902"
"23",3,"developed","Developed, Medium Intensity","#ED0000","902"
"41",104,"forest","Deciduous Forest","#68AA63","902"
"52",13,"shrubland","Scrub/Shrub","#CCBA7C","902"
"71",12,"herbaceous","Grassland/Herbaceous","#E2E2C1","902"
"81",92,"planted","Pasture/Hay","#DBD83D","902"
"82",692,"planted","Cultivated Crops","#AA7028","902"
"95",448,"wetlands","Emergent Herbaceous Wetlands","#70A3BA","902"
"code","n","class","description","color","llid"
"21",50,"developed","Developed, Open Space","#DDC9C9","6454"
"22",15,"developed","Developed, Low Intensity","#D89382","6454"
"41",84,"forest","Deciduous Forest","#68AA63","6454"
"71",3,"herbaceous","Grassland/Herbaceous","#E2E2C1","6454"
"81",185,"planted","Pasture/Hay","#DBD83D","6454"
"82",15,"planted","Cultivated Crops","#AA7028","6454"
"code","n","class","description","color","llid"
"21",173,"developed","Developed, Open Space","#DDC9C9","533"
"22",103,"developed","Developed, Low Intensity","#D89382","533"
"23",28,"developed","Developed, Medium Intensity","#ED0000","533"
"24",3,"developed","Developed, High Intensity","#AA0000","533"
"41",224,"forest","Deciduous Forest","#68AA63","533"
"42",26,"forest","Evergreen Forest","#1C6330","533"
"52",29,"shrubland","Scrub/Shrub","#CCBA7C","533"
"71",39,"herbaceous","Grassland/Herbaceous","#E2E2C1","533"
"81",975,"planted","Pasture/Hay","#DBD83D","533"
"82",1540,"planted","Cultivated Crops","#AA7028","533"
"95",328,"wetlands","Emergent Herbaceous Wetlands","#70A3BA","533"
"code","n","class","description","color","llid"
NA,NA,NA,NA,NA,"3163"
"code","n","class","description","color","llid"
"21",50,"developed","Developed, Open Space","#DDC9C9","474"
"71",352,"herbaceous","Grassland/Herbaceous","#E2E2C1","474"
"81",327,"planted","Pasture/Hay","#DBD83D","474"
"82",680,"planted","Cultivated Crops","#AA7028","474"
"95",195,"wetlands","Emergent Herbaceous Wetlands","#70A3BA","474"
"code","n","class","description","color","llid"
"21",76,"developed","Developed, Open Space","#DDC9C9","7165"
"22",8,"developed","Developed, Low Intensity","#D89382","7165"
"23",1,"developed","Developed, Medium Intensity","#ED0000","7165"
"24",1,"developed","Developed, High Intensity","#AA0000","7165"
"41",920,"forest","Deciduous Forest","#68AA63","7165"
"71",12,"herbaceous","Grassland/Herbaceous","#E2E2C1","7165"
"81",303,"planted","Pasture/Hay","#DBD83D","7165"
"82",688,"planted","Cultivated Crops","#AA7028","7165"
"95",4,"wetlands","Emergent Herbaceous Wetlands","#70A3BA","7165"
"code","n","class","description","color","llid"
"21",167,"developed","Developed, Open Space","#DDC9C9","758"
"22",16,"developed","Developed, Low Intensity","#D89382","758"
"23",1,"developed","Developed, Medium Intensity","#ED0000","758"
"41",11,"forest","Deciduous Forest","#68AA63","758"
"71",90,"herbaceous","Grassland/Herbaceous","#E2E2C1","758"
"81",84,"planted","Pasture/Hay","#DBD83D","758"
"82",2125,"planted","Cultivated Crops","#AA7028","758"
"90",35,"wetlands","Woody Wetlands","#BAD8EA","758"
"95",2126,"wetlands","Emergent Herbaceous Wetlands","#70A3BA","758"
"code","n","class","description","color","llid"
NA,NA,NA,NA,NA,"156"
"code","n","class","description","color","llid"
"21",48,"developed","Developed, Open Space","#DDC9C9","132581"
"22",31,"developed","Developed, Low Intensity","#D89382","132581"
"23",23,"developed","Developed, Medium Intensity","#ED0000","132581"
"24",1,"developed","Developed, High Intensity","#AA0000","132581"
"41",183,"forest","Deciduous Forest","#68AA63","132581"
"42",16,"forest","Evergreen Forest","#1C6330","132581"
"52",77,"shrubland","Scrub/Shrub","#CCBA7C","132581"
"71",11,"herbaceous","Grassland/Herbaceous","#E2E2C1","132581"
"81",387,"planted","Pasture/Hay","#DBD83D","132581"
"82",852,"planted","Cultivated Crops","#AA7028","132581"
"95",122,"wetlands","Emergent Herbaceous Wetlands","#70A3BA","132581"
"code","n","class","description","color","llid"
NA,NA,NA,NA,NA,"23286"
"code","n","class","description","color","llid"
"21",719,"developed","Developed, Open Space","#DDC9C9","4294"
"22",54,"developed","Developed, Low Intensity","#D89382","4294"
"23",1,"developed","Developed, Medium Intensity","#ED0000","4294"
"41",4903,"forest","Deciduous Forest","#68AA63","4294"
"42",513,"forest","Evergreen Forest","#1C6330","4294"
"43",450,"forest","Mixed Forest","#B5C98E","4294"
"52",54,"shrubland","Scrub/Shrub","#CCBA7C","4294"
"71",550,"herbaceous","Grassland/Herbaceous","#E2E2C1","4294"
"81",3842,"planted","Pasture/Hay","#DBD83D","4294"
"82",1195,"planted","Cultivated Crops","#AA7028","4294"
"90",647,"wetlands","Woody Wetlands","#BAD8EA","4294"
"95",1211,"wetlands","Emergent Herbaceous Wetlands","#70A3BA","4294"
"code","n","class","description","color","llid"
"21",607,"developed","Developed, Open Space","#DDC9C9","4472"
"22",108,"developed","Developed, Low Intensity","#D89382","4472"
"23",37,"developed","Developed, Medium Intensity","#ED0000","4472"
"24",8,"developed","Developed, High Intensity","#AA0000","4472"
"41",5740,"forest","Deciduous Forest","#68AA63","4472"
"42",135,"forest","Evergreen Forest","#1C6330","4472"
"43",91,"forest","Mixed Forest","#B5C98E","4472"
"52",65,"shrubland","Scrub/Shrub","#CCBA7C","4472"
"71",403,"herbaceous","Grassland/Herbaceous","#E2E2C1","4472"
"81",3377,"planted","Pasture/Hay","#DBD83D","4472"
"82",1289,"planted","Cultivated Crops","#AA7028","4472"
"90",430,"wetlands","Woody Wetlands","#BAD8EA","4472"
"95",907,"wetlands","Emergent Herbaceous Wetlands","#70A3BA","4472"
"code","n","class","description","color","llid"
NA,NA,NA,NA,NA,"5002"
"code","n","class","description","color","llid"
NA,NA,NA,NA,NA,"3683"
"code","n","class","description","color","llid"
"21",162,"developed","Developed, Open Space","#DDC9C9","1297"
"22",21,"developed","Developed, Low Intensity","#D89382","1297"
"23",5,"developed","Developed, Medium Intensity","#ED0000","1297"
"24",1,"developed","Developed, High Intensity","#AA0000","1297"
"41",1630,"forest","Deciduous Forest","#68AA63","1297"
"42",15,"forest","Evergreen Forest","#1C6330","1297"
"43",15,"forest","Mixed Forest","#B5C98E","1297"
"52",8,"shrubland","Scrub/Shrub","#CCBA7C","1297"
"71",230,"herbaceous","Grassland/Herbaceous","#E2E2C1","1297"
"81",825,"planted","Pasture/Hay","#DBD83D","1297"
"82",309,"planted","Cultivated Crops","#AA7028","1297"
"90",366,"wetlands","Woody Wetlands","#BAD8EA","1297"
"95",483,"wetlands","Emergent Herbaceous Wetlands","#70A3BA","1297"
"code","n","class","description","color","llid"
NA,NA,NA,NA,NA,"87"
"code","n","class","description","color","llid"
NA,NA,NA,NA,NA,"5211"
"code","n","class","description","color","llid"
"21",4451,"developed","Developed, Open Space","#DDC9C9","4927"
"22",797,"developed","Developed, Low Intensity","#D89382","4927"
"23",226,"developed","Developed, Medium Intensity","#ED0000","4927"
"24",72,"developed","Developed, High Intensity","#AA0000","4927"
"41",24873,"forest","Deciduous Forest","#68AA63","4927"
"42",946,"forest","Evergreen Forest","#1C6330","4927"
"43",72,"forest","Mixed Forest","#B5C98E","4927"
"52",346,"shrubland","Scrub/Shrub","#CCBA7C","4927"
"71",1909,"herbaceous","Grassland/Herbaceous","#E2E2C1","4927"
"81",25405,"planted","Pasture/Hay","#DBD83D","4927"
"82",19106,"planted","Cultivated Crops","#AA7028","4927"
"90",770,"wetlands","Woody Wetlands","#BAD8EA","4927"
"95",3543,"wetlands","Emergent Herbaceous Wetlands","#70A3BA","4927"
"code","n","class","description","color","llid"
NA,NA,NA,NA,NA,"4994"
"code","n","class","description","color","llid"
"21",69,"developed","Developed, Open Space","#DDC9C9","5380"
"22",9,"developed","Developed, Low Intensity","#D89382","5380"
"23",4,"developed","Developed, Medium Intensity","#ED0000","5380"
"41",206,"forest","Deciduous Forest","#68AA63","5380"
"42",5,"forest","Evergreen Forest","#1C6330","5380"
"43",8,"forest","Mixed Forest","#B5C98E","5380"
"71",22,"herbaceous","Grassland/Herbaceous","#E2E2C1","5380"
"81",830,"planted","Pasture/Hay","#DBD83D","5380"
"82",321,"planted","Cultivated Crops","#AA7028","5380"
"90",57,"wetlands","Woody Wetlands","#BAD8EA","5380"
"95",177,"wetlands","Emergent Herbaceous Wetlands","#70A3BA","5380"
"code","n","class","description","color","llid"
"21",1541,"developed","Developed, Open Space","#DDC9C9","5328"
"22",212,"developed","Developed, Low Intensity","#D89382","5328"
"23",21,"developed","Developed, Medium Intensity","#ED0000","5328"
"31",17,"barren","Barren Land (Rock/Sand/Clay)","#B2ADA3","5328"
"41",18096,"forest","Deciduous Forest","#68AA63","5328"
"42",329,"forest","Evergreen Forest","#1C6330","5328"
"43",502,"forest","Mixed Forest","#B5C98E","5328"
"52",179,"shrubland","Scrub/Shrub","#CCBA7C","5328"
"71",1785,"herbaceous","Grassland/Herbaceous","#E2E2C1","5328"
"81",7925,"planted","Pasture/Hay","#DBD83D","5328"
"82",4403,"planted","Cultivated Crops","#AA7028","5328"
"90",3203,"wetlands","Woody Wetlands","#BAD8EA","5328"
"95",4087,"wetlands","Emergent Herbaceous Wetlands","#70A3BA","5328"
"code","n","class","description","color","llid"
NA,NA,NA,NA,NA,"490"
"code","n","class","description","color","llid"
NA,NA,NA,NA,NA,"4297"
"code","n","class","description","color","llid"
NA,NA,NA,NA,NA,"1061"
"code","n","class","description","color","llid"
"21",990,"developed","Developed, Open Space","#DDC9C9","4306"
"22",159,"developed","Developed, Low Intensity","#D89382","4306"
