"90",179,"wetlands","Woody Wetlands","#BAD8EA","1500"
"95",9,"wetlands","Emergent Herbaceous Wetlands","#70A3BA","1500"
"code","n","class","description","color","llid"
"21",1532,"developed","Developed, Open Space","#DDC9C9","3423"
"22",536,"developed","Developed, Low Intensity","#D89382","3423"
"23",112,"developed","Developed, Medium Intensity","#ED0000","3423"
"24",52,"developed","Developed, High Intensity","#AA0000","3423"
"31",22,"barren","Barren Land (Rock/Sand/Clay)","#B2ADA3","3423"
"41",26150,"forest","Deciduous Forest","#68AA63","3423"
"42",162,"forest","Evergreen Forest","#1C6330","3423"
"43",8,"forest","Mixed Forest","#B5C98E","3423"
"52",160,"shrubland","Scrub/Shrub","#CCBA7C","3423"
"71",1270,"herbaceous","Grassland/Herbaceous","#E2E2C1","3423"
"81",7815,"planted","Pasture/Hay","#DBD83D","3423"
"82",11041,"planted","Cultivated Crops","#AA7028","3423"
"95",36,"wetlands","Emergent Herbaceous Wetlands","#70A3BA","3423"
"code","n","class","description","color","llid"
"21",9349,"developed","Developed, Open Space","#DDC9C9","3386"
"22",3790,"developed","Developed, Low Intensity","#D89382","3386"
"23",740,"developed","Developed, Medium Intensity","#ED0000","3386"
"24",285,"developed","Developed, High Intensity","#AA0000","3386"
"31",61,"barren","Barren Land (Rock/Sand/Clay)","#B2ADA3","3386"
"41",43622,"forest","Deciduous Forest","#68AA63","3386"
"42",215,"forest","Evergreen Forest","#1C6330","3386"
"43",243,"forest","Mixed Forest","#B5C98E","3386"
"52",207,"shrubland","Scrub/Shrub","#CCBA7C","3386"
"71",491,"herbaceous","Grassland/Herbaceous","#E2E2C1","3386"
"81",8879,"planted","Pasture/Hay","#DBD83D","3386"
"82",96807,"planted","Cultivated Crops","#AA7028","3386"
"90",2155,"wetlands","Woody Wetlands","#BAD8EA","3386"
"95",51,"wetlands","Emergent Herbaceous Wetlands","#70A3BA","3386"
"code","n","class","description","color","llid"
"21",4068,"developed","Developed, Open Space","#DDC9C9","2861"
"22",2119,"developed","Developed, Low Intensity","#D89382","2861"
"23",338,"developed","Developed, Medium Intensity","#ED0000","2861"
"24",68,"developed","Developed, High Intensity","#AA0000","2861"
"41",13027,"forest","Deciduous Forest","#68AA63","2861"
"42",46,"forest","Evergreen Forest","#1C6330","2861"
"43",151,"forest","Mixed Forest","#B5C98E","2861"
"71",2686,"herbaceous","Grassland/Herbaceous","#E2E2C1","2861"
"81",16882,"planted","Pasture/Hay","#DBD83D","2861"
"82",76343,"planted","Cultivated Crops","#AA7028","2861"
"90",259,"wetlands","Woody Wetlands","#BAD8EA","2861"
"95",221,"wetlands","Emergent Herbaceous Wetlands","#70A3BA","2861"
"code","n","class","description","color","llid"
