"code","n","class","description","color","llid"
"41",23,"forest","Deciduous Forest","#68AA63","15496"
"82",15,"planted","Cultivated Crops","#AA7028","15496"
"90",126,"wetlands","Woody Wetlands","#BAD8EA","15496"
"95",2,"wetlands","Emergent Herbaceous Wetlands","#70A3BA","15496"
"code","n","class","description","color","llid"
"21",39,"developed","Developed, Open Space","#DDC9C9","136008"
"22",56,"developed","Developed, Low Intensity","#D89382","136008"
"23",8,"developed","Developed, Medium Intensity","#ED0000","136008"
"31",3,"barren","Barren Land (Rock/Sand/Clay)","#B2ADA3","136008"
"41",29,"forest","Deciduous Forest","#68AA63","136008"
"81",11,"planted","Pasture/Hay","#DBD83D","136008"
"90",93,"wetlands","Woody Wetlands","#BAD8EA","136008"
"95",25,"wetlands","Emergent Herbaceous Wetlands","#70A3BA","136008"
"code","n","class","description","color","llid"
"21",25,"developed","Developed, Open Space","#DDC9C9","4156"
"22",36,"developed","Developed, Low Intensity","#D89382","4156"
"23",6,"developed","Developed, Medium Intensity","#ED0000","4156"
"41",129,"forest","Deciduous Forest","#68AA63","4156"
"42",35,"forest","Evergreen Forest","#1C6330","4156"
"43",28,"forest","Mixed Forest","#B5C98E","4156"
"71",9,"herbaceous","Grassland/Herbaceous","#E2E2C1","4156"
"81",45,"planted","Pasture/Hay","#DBD83D","4156"
"90",138,"wetlands","Woody Wetlands","#BAD8EA","4156"
"95",30,"wetlands","Emergent Herbaceous Wetlands","#70A3BA","4156"
"code","n","class","description","color","llid"
"21",123,"developed","Developed, Open Space","#DDC9C9","2457"
"22",210,"developed","Developed, Low Intensity","#D89382","2457"
"23",31,"developed","Developed, Medium Intensity","#ED0000","2457"
"41",52,"forest","Deciduous Forest","#68AA63","2457"
"42",50,"forest","Evergreen Forest","#1C6330","2457"
"43",43,"forest","Mixed Forest","#B5C98E","2457"
"71",2,"herbaceous","Grassland/Herbaceous","#E2E2C1","2457"
"81",11,"planted","Pasture/Hay","#DBD83D","2457"
"82",88,"planted","Cultivated Crops","#AA7028","2457"
"90",214,"wetlands","Woody Wetlands","#BAD8EA","2457"
"95",105,"wetlands","Emergent Herbaceous Wetlands","#70A3BA","2457"
"code","n","class","description","color","llid"
"21",50,"developed","Developed, Open Space","#DDC9C9","139057"
"22",71,"developed","Developed, Low Intensity","#D89382","139057"
"23",11,"developed","Developed, Medium Intensity","#ED0000","139057"
"41",77,"forest","Deciduous Forest","#68AA63","139057"
"42",34,"forest","Evergreen Forest","#1C6330","139057"
"43",31,"forest","Mixed Forest","#B5C98E","139057"
"81",15,"planted","Pasture/Hay","#DBD83D","139057"
"82",26,"planted","Cultivated Crops","#AA7028","139057"
"90",74,"wetlands","Woody Wetlands","#BAD8EA","139057"
"95",10,"wetlands","Emergent Herbaceous Wetlands","#70A3BA","139057"
"code","n","class","description","color","llid"
"21",142,"developed","Developed, Open Space","#DDC9C9","487"
"22",175,"developed","Developed, Low Intensity","#D89382","487"
"23",53,"developed","Developed, Medium Intensity","#ED0000","487"
"24",7,"developed","Developed, High Intensity","#AA0000","487"
"41",4,"forest","Deciduous Forest","#68AA63","487"
"52",6,"shrubland","Scrub/Shrub","#CCBA7C","487"
"71",12,"herbaceous","Grassland/Herbaceous","#E2E2C1","487"
"82",20,"planted","Cultivated Crops","#AA7028","487"
"90",71,"wetlands","Woody Wetlands","#BAD8EA","487"
"95",17,"wetlands","Emergent Herbaceous Wetlands","#70A3BA","487"
"code","n","class","description","color","llid"
"21",147,"developed","Developed, Open Space","#DDC9C9","3512"
"22",183,"developed","Developed, Low Intensity","#D89382","3512"
"23",23,"developed","Developed, Medium Intensity","#ED0000","3512"
"41",179,"forest","Deciduous Forest","#68AA63","3512"
"42",80,"forest","Evergreen Forest","#1C6330","3512"
"43",69,"forest","Mixed Forest","#B5C98E","3512"
"71",36,"herbaceous","Grassland/Herbaceous","#E2E2C1","3512"
"81",5,"planted","Pasture/Hay","#DBD83D","3512"
"90",258,"wetlands","Woody Wetlands","#BAD8EA","3512"
"95",85,"wetlands","Emergent Herbaceous Wetlands","#70A3BA","3512"
"code","n","class","description","color","llid"
"21",342,"developed","Developed, Open Space","#DDC9C9","1322"
"22",384,"developed","Developed, Low Intensity","#D89382","1322"
"23",107,"developed","Developed, Medium Intensity","#ED0000","1322"
"24",1,"developed","Developed, High Intensity","#AA0000","1322"
"41",118,"forest","Deciduous Forest","#68AA63","1322"
"42",17,"forest","Evergreen Forest","#1C6330","1322"
"43",39,"forest","Mixed Forest","#B5C98E","1322"
"52",27,"shrubland","Scrub/Shrub","#CCBA7C","1322"
"71",43,"herbaceous","Grassland/Herbaceous","#E2E2C1","1322"
"81",9,"planted","Pasture/Hay","#DBD83D","1322"
"82",135,"planted","Cultivated Crops","#AA7028","1322"
"90",65,"wetlands","Woody Wetlands","#BAD8EA","1322"
"95",67,"wetlands","Emergent Herbaceous Wetlands","#70A3BA","1322"
"code","n","class","description","color","llid"
"21",71,"developed","Developed, Open Space","#DDC9C9","2873"
"22",80,"developed","Developed, Low Intensity","#D89382","2873"
"23",4,"developed","Developed, Medium Intensity","#ED0000","2873"
"41",9,"forest","Deciduous Forest","#68AA63","2873"
"42",6,"forest","Evergreen Forest","#1C6330","2873"
"81",29,"planted","Pasture/Hay","#DBD83D","2873"
"82",51,"planted","Cultivated Crops","#AA7028","2873"
"90",74,"wetlands","Woody Wetlands","#BAD8EA","2873"
"95",4,"wetlands","Emergent Herbaceous Wetlands","#70A3BA","2873"
"code","n","class","description","color","llid"
"21",20,"developed","Developed, Open Space","#DDC9C9","2590"
"22",15,"developed","Developed, Low Intensity","#D89382","2590"
"23",1,"developed","Developed, Medium Intensity","#ED0000","2590"
"41",111,"forest","Deciduous Forest","#68AA63","2590"
"43",16,"forest","Mixed Forest","#B5C98E","2590"
"82",22,"planted","Cultivated Crops","#AA7028","2590"
"95",15,"wetlands","Emergent Herbaceous Wetlands","#70A3BA","2590"
"code","n","class","description","color","llid"
"21",197,"developed","Developed, Open Space","#DDC9C9","3172"
"22",58,"developed","Developed, Low Intensity","#D89382","3172"
"23",3,"developed","Developed, Medium Intensity","#ED0000","3172"
"41",282,"forest","Deciduous Forest","#68AA63","3172"
"71",36,"herbaceous","Grassland/Herbaceous","#E2E2C1","3172"
"81",97,"planted","Pasture/Hay","#DBD83D","3172"
"82",50,"planted","Cultivated Crops","#AA7028","3172"
"90",30,"wetlands","Woody Wetlands","#BAD8EA","3172"
"95",273,"wetlands","Emergent Herbaceous Wetlands","#70A3BA","3172"
"code","n","class","description","color","llid"
"21",350,"developed","Developed, Open Space","#DDC9C9","1776"
"22",425,"developed","Developed, Low Intensity","#D89382","1776"
"23",119,"developed","Developed, Medium Intensity","#ED0000","1776"
"24",41,"developed","Developed, High Intensity","#AA0000","1776"
"41",229,"forest","Deciduous Forest","#68AA63","1776"
"42",19,"forest","Evergreen Forest","#1C6330","1776"
"52",11,"shrubland","Scrub/Shrub","#CCBA7C","1776"
"71",3,"herbaceous","Grassland/Herbaceous","#E2E2C1","1776"
"81",80,"planted","Pasture/Hay","#DBD83D","1776"
"82",49,"planted","Cultivated Crops","#AA7028","1776"
"90",28,"wetlands","Woody Wetlands","#BAD8EA","1776"
"95",134,"wetlands","Emergent Herbaceous Wetlands","#70A3BA","1776"
"code","n","class","description","color","llid"
"21",1061,"developed","Developed, Open Space","#DDC9C9","7031"
"22",157,"developed","Developed, Low Intensity","#D89382","7031"
"23",21,"developed","Developed, Medium Intensity","#ED0000","7031"
"24",1,"developed","Developed, High Intensity","#AA0000","7031"
"41",2743,"forest","Deciduous Forest","#68AA63","7031"
"71",12,"herbaceous","Grassland/Herbaceous","#E2E2C1","7031"
"81",42,"planted","Pasture/Hay","#DBD83D","7031"
"82",29,"planted","Cultivated Crops","#AA7028","7031"
"code","n","class","description","color","llid"
"21",144,"developed","Developed, Open Space","#DDC9C9","7004"
"22",126,"developed","Developed, Low Intensity","#D89382","7004"
"23",13,"developed","Developed, Medium Intensity","#ED0000","7004"
"24",2,"developed","Developed, High Intensity","#AA0000","7004"
"41",357,"forest","Deciduous Forest","#68AA63","7004"
"71",13,"herbaceous","Grassland/Herbaceous","#E2E2C1","7004"
"81",10,"planted","Pasture/Hay","#DBD83D","7004"
"82",125,"planted","Cultivated Crops","#AA7028","7004"
"90",2,"wetlands","Woody Wetlands","#BAD8EA","7004"
"code","n","class","description","color","llid"
"21",3,"developed","Developed, Open Space","#DDC9C9","40797"
"31",2,"barren","Barren Land (Rock/Sand/Clay)","#B2ADA3","40797"
"41",58,"forest","Deciduous Forest","#68AA63","40797"
"42",10,"forest","Evergreen Forest","#1C6330","40797"
"43",4,"forest","Mixed Forest","#B5C98E","40797"
"81",14,"planted","Pasture/Hay","#DBD83D","40797"
"90",46,"wetlands","Woody Wetlands","#BAD8EA","40797"
"95",16,"wetlands","Emergent Herbaceous Wetlands","#70A3BA","40797"
"code","n","class","description","color","llid"
"21",215,"developed","Developed, Open Space","#DDC9C9","3406"
"22",63,"developed","Developed, Low Intensity","#D89382","3406"
"23",3,"developed","Developed, Medium Intensity","#ED0000","3406"
"41",99,"forest","Deciduous Forest","#68AA63","3406"
"81",5,"planted","Pasture/Hay","#DBD83D","3406"
"82",95,"planted","Cultivated Crops","#AA7028","3406"
"90",314,"wetlands","Woody Wetlands","#BAD8EA","3406"
"95",75,"wetlands","Emergent Herbaceous Wetlands","#70A3BA","3406"
"code","n","class","description","color","llid"
"21",104,"developed","Developed, Open Space","#DDC9C9","480"
"22",68,"developed","Developed, Low Intensity","#D89382","480"
"41",93,"forest","Deciduous Forest","#68AA63","480"
"42",10,"forest","Evergreen Forest","#1C6330","480"
"43",42,"forest","Mixed Forest","#B5C98E","480"
"90",54,"wetlands","Woody Wetlands","#BAD8EA","480"
"95",10,"wetlands","Emergent Herbaceous Wetlands","#70A3BA","480"
"code","n","class","description","color","llid"
"21",86,"developed","Developed, Open Space","#DDC9C9","106073"
"22",111,"developed","Developed, Low Intensity","#D89382","106073"
"23",7,"developed","Developed, Medium Intensity","#ED0000","106073"
"41",137,"forest","Deciduous Forest","#68AA63","106073"
"52",1,"shrubland","Scrub/Shrub","#CCBA7C","106073"
"71",13,"herbaceous","Grassland/Herbaceous","#E2E2C1","106073"
"81",77,"planted","Pasture/Hay","#DBD83D","106073"
"82",26,"planted","Cultivated Crops","#AA7028","106073"
"90",47,"wetlands","Woody Wetlands","#BAD8EA","106073"
"95",49,"wetlands","Emergent Herbaceous Wetlands","#70A3BA","106073"
"code","n","class","description","color","llid"
"21",34,"developed","Developed, Open Space","#DDC9C9","10397"
"22",55,"developed","Developed, Low Intensity","#D89382","10397"
"23",1,"developed","Developed, Medium Intensity","#ED0000","10397"
"31",6,"barren","Barren Land (Rock/Sand/Clay)","#B2ADA3","10397"
"81",25,"planted","Pasture/Hay","#DBD83D","10397"
"82",41,"planted","Cultivated Crops","#AA7028","10397"
"90",1,"wetlands","Woody Wetlands","#BAD8EA","10397"
"95",65,"wetlands","Emergent Herbaceous Wetlands","#70A3BA","10397"
"code","n","class","description","color","llid"
"21",55,"developed","Developed, Open Space","#DDC9C9","7005"
"22",14,"developed","Developed, Low Intensity","#D89382","7005"
"23",1,"developed","Developed, Medium Intensity","#ED0000","7005"
"41",4390,"forest","Deciduous Forest","#68AA63","7005"
"71",99,"herbaceous","Grassland/Herbaceous","#E2E2C1","7005"
"81",39,"planted","Pasture/Hay","#DBD83D","7005"
"82",182,"planted","Cultivated Crops","#AA7028","7005"
"90",3,"wetlands","Woody Wetlands","#BAD8EA","7005"
"code","n","class","description","color","llid"
"21",22,"developed","Developed, Open Space","#DDC9C9","1822"
"22",64,"developed","Developed, Low Intensity","#D89382","1822"
"23",29,"developed","Developed, Medium Intensity","#ED0000","1822"
"24",4,"developed","Developed, High Intensity","#AA0000","1822"
"41",182,"forest","Deciduous Forest","#68AA63","1822"
"42",1,"forest","Evergreen Forest","#1C6330","1822"
"43",9,"forest","Mixed Forest","#B5C98E","1822"
"52",9,"shrubland","Scrub/Shrub","#CCBA7C","1822"
"71",55,"herbaceous","Grassland/Herbaceous","#E2E2C1","1822"
"81",207,"planted","Pasture/Hay","#DBD83D","1822"
"82",40,"planted","Cultivated Crops","#AA7028","1822"
"95",50,"wetlands","Emergent Herbaceous Wetlands","#70A3BA","1822"
"code","n","class","description","color","llid"
"21",69,"developed","Developed, Open Space","#DDC9C9","2709"
"22",94,"developed","Developed, Low Intensity","#D89382","2709"
"23",53,"developed","Developed, Medium Intensity","#ED0000","2709"
"24",2,"developed","Developed, High Intensity","#AA0000","2709"
"41",323,"forest","Deciduous Forest","#68AA63","2709"
"71",136,"herbaceous","Grassland/Herbaceous","#E2E2C1","2709"
"81",22,"planted","Pasture/Hay","#DBD83D","2709"
"82",23,"planted","Cultivated Crops","#AA7028","2709"
"90",34,"wetlands","Woody Wetlands","#BAD8EA","2709"
"95",699,"wetlands","Emergent Herbaceous Wetlands","#70A3BA","2709"
"code","n","class","description","color","llid"
"21",42,"developed","Developed, Open Space","#DDC9C9","3307"
"22",6,"developed","Developed, Low Intensity","#D89382","3307"
"41",30,"forest","Deciduous Forest","#68AA63","3307"
"52",21,"shrubland","Scrub/Shrub","#CCBA7C","3307"
"71",22,"herbaceous","Grassland/Herbaceous","#E2E2C1","3307"
"81",21,"planted","Pasture/Hay","#DBD83D","3307"
"95",130,"wetlands","Emergent Herbaceous Wetlands","#70A3BA","3307"
"code","n","class","description","color","llid"
"21",122,"developed","Developed, Open Space","#DDC9C9","7027"
"22",24,"developed","Developed, Low Intensity","#D89382","7027"
"23",2,"developed","Developed, Medium Intensity","#ED0000","7027"
"41",1058,"forest","Deciduous Forest","#68AA63","7027"
"42",19,"forest","Evergreen Forest","#1C6330","7027"
"71",14,"herbaceous","Grassland/Herbaceous","#E2E2C1","7027"
"81",24,"planted","Pasture/Hay","#DBD83D","7027"
"82",24,"planted","Cultivated Crops","#AA7028","7027"
"95",8,"wetlands","Emergent Herbaceous Wetlands","#70A3BA","7027"
"code","n","class","description","color","llid"
"21",2,"developed","Developed, Open Space","#DDC9C9","57638"
"41",67,"forest","Deciduous Forest","#68AA63","57638"
"71",1,"herbaceous","Grassland/Herbaceous","#E2E2C1","57638"
"81",41,"planted","Pasture/Hay","#DBD83D","57638"
"82",32,"planted","Cultivated Crops","#AA7028","57638"
"95",313,"wetlands","Emergent Herbaceous Wetlands","#70A3BA","57638"
"code","n","class","description","color","llid"
"21",13,"developed","Developed, Open Space","#DDC9C9","121869"
"41",490,"forest","Deciduous Forest","#68AA63","121869"
"52",47,"shrubland","Scrub/Shrub","#CCBA7C","121869"
"71",5,"herbaceous","Grassland/Herbaceous","#E2E2C1","121869"
"81",27,"planted","Pasture/Hay","#DBD83D","121869"
"82",4,"planted","Cultivated Crops","#AA7028","121869"
"95",455,"wetlands","Emergent Herbaceous Wetlands","#70A3BA","121869"
"code","n","class","description","color","llid"
"21",20,"developed","Developed, Open Space","#DDC9C9","65948"
"22",1,"developed","Developed, Low Intensity","#D89382","65948"
"41",167,"forest","Deciduous Forest","#68AA63","65948"
"42",12,"forest","Evergreen Forest","#1C6330","65948"
"71",2,"herbaceous","Grassland/Herbaceous","#E2E2C1","65948"
"81",34,"planted","Pasture/Hay","#DBD83D","65948"
"82",20,"planted","Cultivated Crops","#AA7028","65948"
"90",3,"wetlands","Woody Wetlands","#BAD8EA","65948"
"95",74,"wetlands","Emergent Herbaceous Wetlands","#70A3BA","65948"
"code","n","class","description","color","llid"
"41",41,"forest","Deciduous Forest","#68AA63","9971"
"81",9,"planted","Pasture/Hay","#DBD83D","9971"
"95",80,"wetlands","Emergent Herbaceous Wetlands","#70A3BA","9971"
"code","n","class","description","color","llid"
"21",119,"developed","Developed, Open Space","#DDC9C9","687"
"22",74,"developed","Developed, Low Intensity","#D89382","687"
"23",6,"developed","Developed, Medium Intensity","#ED0000","687"
"24",1,"developed","Developed, High Intensity","#AA0000","687"
"41",160,"forest","Deciduous Forest","#68AA63","687"
"43",3,"forest","Mixed Forest","#B5C98E","687"
"52",9,"shrubland","Scrub/Shrub","#CCBA7C","687"
"71",54,"herbaceous","Grassland/Herbaceous","#E2E2C1","687"
"81",99,"planted","Pasture/Hay","#DBD83D","687"
"82",77,"planted","Cultivated Crops","#AA7028","687"
"90",28,"wetlands","Woody Wetlands","#BAD8EA","687"
"95",58,"wetlands","Emergent Herbaceous Wetlands","#70A3BA","687"
"code","n","class","description","color","llid"
"21",257,"developed","Developed, Open Space","#DDC9C9","7051"
"22",139,"developed","Developed, Low Intensity","#D89382","7051"
"23",46,"developed","Developed, Medium Intensity","#ED0000","7051"
"24",4,"developed","Developed, High Intensity","#AA0000","7051"
"41",419,"forest","Deciduous Forest","#68AA63","7051"
"71",66,"herbaceous","Grassland/Herbaceous","#E2E2C1","7051"
"81",45,"planted","Pasture/Hay","#DBD83D","7051"
"82",205,"planted","Cultivated Crops","#AA7028","7051"
"code","n","class","description","color","llid"
"21",320,"developed","Developed, Open Space","#DDC9C9","3825"
"22",439,"developed","Developed, Low Intensity","#D89382","3825"
"23",112,"developed","Developed, Medium Intensity","#ED0000","3825"
"24",27,"developed","Developed, High Intensity","#AA0000","3825"
"41",79,"forest","Deciduous Forest","#68AA63","3825"
"42",7,"forest","Evergreen Forest","#1C6330","3825"
"52",40,"shrubland","Scrub/Shrub","#CCBA7C","3825"
"90",34,"wetlands","Woody Wetlands","#BAD8EA","3825"
"95",39,"wetlands","Emergent Herbaceous Wetlands","#70A3BA","3825"
"code","n","class","description","color","llid"
"21",91,"developed","Developed, Open Space","#DDC9C9","33602"
"22",109,"developed","Developed, Low Intensity","#D89382","33602"
"23",38,"developed","Developed, Medium Intensity","#ED0000","33602"
"41",363,"forest","Deciduous Forest","#68AA63","33602"
"42",31,"forest","Evergreen Forest","#1C6330","33602"
"52",39,"shrubland","Scrub/Shrub","#CCBA7C","33602"
"71",39,"herbaceous","Grassland/Herbaceous","#E2E2C1","33602"
"81",228,"planted","Pasture/Hay","#DBD83D","33602"
"82",5,"planted","Cultivated Crops","#AA7028","33602"
"90",6,"wetlands","Woody Wetlands","#BAD8EA","33602"
"95",139,"wetlands","Emergent Herbaceous Wetlands","#70A3BA","33602"
"code","n","class","description","color","llid"
"21",94,"developed","Developed, Open Space","#DDC9C9","7033"
"22",52,"developed","Developed, Low Intensity","#D89382","7033"
"23",2,"developed","Developed, Medium Intensity","#ED0000","7033"
"41",286,"forest","Deciduous Forest","#68AA63","7033"
"71",1,"herbaceous","Grassland/Herbaceous","#E2E2C1","7033"
"81",233,"planted","Pasture/Hay","#DBD83D","7033"
"82",274,"planted","Cultivated Crops","#AA7028","7033"
"code","n","class","description","color","llid"
"21",49,"developed","Developed, Open Space","#DDC9C9","6984"
"22",2,"developed","Developed, Low Intensity","#D89382","6984"
"41",448,"forest","Deciduous Forest","#68AA63","6984"
"81",32,"planted","Pasture/Hay","#DBD83D","6984"
"82",20,"planted","Cultivated Crops","#AA7028","6984"
"code","n","class","description","color","llid"
"21",83,"developed","Developed, Open Space","#DDC9C9","4200"
"22",39,"developed","Developed, Low Intensity","#D89382","4200"
"23",16,"developed","Developed, Medium Intensity","#ED0000","4200"
"41",370,"forest","Deciduous Forest","#68AA63","4200"
"42",29,"forest","Evergreen Forest","#1C6330","4200"
"43",8,"forest","Mixed Forest","#B5C98E","4200"
"52",45,"shrubland","Scrub/Shrub","#CCBA7C","4200"
"71",14,"herbaceous","Grassland/Herbaceous","#E2E2C1","4200"
"81",106,"planted","Pasture/Hay","#DBD83D","4200"
"95",277,"wetlands","Emergent Herbaceous Wetlands","#70A3BA","4200"
"code","n","class","description","color","llid"
"21",220,"developed","Developed, Open Space","#DDC9C9","6982"
"22",159,"developed","Developed, Low Intensity","#D89382","6982"
"23",4,"developed","Developed, Medium Intensity","#ED0000","6982"
"41",235,"forest","Deciduous Forest","#68AA63","6982"
"81",34,"planted","Pasture/Hay","#DBD83D","6982"
"82",148,"planted","Cultivated Crops","#AA7028","6982"
"95",11,"wetlands","Emergent Herbaceous Wetlands","#70A3BA","6982"
"code","n","class","description","color","llid"
"21",75,"developed","Developed, Open Space","#DDC9C9","1437"
"22",68,"developed","Developed, Low Intensity","#D89382","1437"
"23",11,"developed","Developed, Medium Intensity","#ED0000","1437"
"41",66,"forest","Deciduous Forest","#68AA63","1437"
"42",3,"forest","Evergreen Forest","#1C6330","1437"
"81",6,"planted","Pasture/Hay","#DBD83D","1437"
"82",90,"planted","Cultivated Crops","#AA7028","1437"
"90",59,"wetlands","Woody Wetlands","#BAD8EA","1437"
"95",39,"wetlands","Emergent Herbaceous Wetlands","#70A3BA","1437"
"code","n","class","description","color","llid"
"21",29,"developed","Developed, Open Space","#DDC9C9","2376"
"22",114,"developed","Developed, Low Intensity","#D89382","2376"
"23",81,"developed","Developed, Medium Intensity","#ED0000","2376"
"24",9,"developed","Developed, High Intensity","#AA0000","2376"
"41",241,"forest","Deciduous Forest","#68AA63","2376"
"42",21,"forest","Evergreen Forest","#1C6330","2376"
"52",14,"shrubland","Scrub/Shrub","#CCBA7C","2376"
"71",43,"herbaceous","Grassland/Herbaceous","#E2E2C1","2376"
"81",50,"planted","Pasture/Hay","#DBD83D","2376"
"82",138,"planted","Cultivated Crops","#AA7028","2376"
"code","n","class","description","color","llid"
"21",198,"developed","Developed, Open Space","#DDC9C9","1762"
"22",32,"developed","Developed, Low Intensity","#D89382","1762"
"23",2,"developed","Developed, Medium Intensity","#ED0000","1762"
"41",523,"forest","Deciduous Forest","#68AA63","1762"
"42",6,"forest","Evergreen Forest","#1C6330","1762"
"52",170,"shrubland","Scrub/Shrub","#CCBA7C","1762"
"71",130,"herbaceous","Grassland/Herbaceous","#E2E2C1","1762"
"81",46,"planted","Pasture/Hay","#DBD83D","1762"
"82",15,"planted","Cultivated Crops","#AA7028","1762"
"90",14,"wetlands","Woody Wetlands","#BAD8EA","1762"
"95",91,"wetlands","Emergent Herbaceous Wetlands","#70A3BA","1762"
"code","n","class","description","color","llid"
"21",197,"developed","Developed, Open Space","#DDC9C9","954"
"22",235,"developed","Developed, Low Intensity","#D89382","954"
"23",32,"developed","Developed, Medium Intensity","#ED0000","954"
"41",227,"forest","Deciduous Forest","#68AA63","954"
"42",21,"forest","Evergreen Forest","#1C6330","954"
"43",21,"forest","Mixed Forest","#B5C98E","954"
"71",3,"herbaceous","Grassland/Herbaceous","#E2E2C1","954"
"82",12,"planted","Cultivated Crops","#AA7028","954"
"90",96,"wetlands","Woody Wetlands","#BAD8EA","954"
"95",57,"wetlands","Emergent Herbaceous Wetlands","#70A3BA","954"
"code","n","class","description","color","llid"
"21",258,"developed","Developed, Open Space","#DDC9C9","7003"
"22",436,"developed","Developed, Low Intensity","#D89382","7003"
"23",54,"developed","Developed, Medium Intensity","#ED0000","7003"
"24",9,"developed","Developed, High Intensity","#AA0000","7003"
"41",559,"forest","Deciduous Forest","#68AA63","7003"
"71",11,"herbaceous","Grassland/Herbaceous","#E2E2C1","7003"
"81",25,"planted","Pasture/Hay","#DBD83D","7003"
"82",3,"planted","Cultivated Crops","#AA7028","7003"
"code","n","class","description","color","llid"
"21",54,"developed","Developed, Open Space","#DDC9C9","6946"
"22",23,"developed","Developed, Low Intensity","#D89382","6946"
"23",2,"developed","Developed, Medium Intensity","#ED0000","6946"
"41",202,"forest","Deciduous Forest","#68AA63","6946"
"71",27,"herbaceous","Grassland/Herbaceous","#E2E2C1","6946"
"81",17,"planted","Pasture/Hay","#DBD83D","6946"
"82",39,"planted","Cultivated Crops","#AA7028","6946"
"code","n","class","description","color","llid"
"21",304,"developed","Developed, Open Space","#DDC9C9","6983"
"22",258,"developed","Developed, Low Intensity","#D89382","6983"
"23",25,"developed","Developed, Medium Intensity","#ED0000","6983"
"41",989,"forest","Deciduous Forest","#68AA63","6983"
"71",118,"herbaceous","Grassland/Herbaceous","#E2E2C1","6983"
"81",369,"planted","Pasture/Hay","#DBD83D","6983"
"82",821,"planted","Cultivated Crops","#AA7028","6983"
"95",5,"wetlands","Emergent Herbaceous Wetlands","#70A3BA","6983"
"code","n","class","description","color","llid"
"21",26,"developed","Developed, Open Space","#DDC9C9","137728"
"22",18,"developed","Developed, Low Intensity","#D89382","137728"
"23",6,"developed","Developed, Medium Intensity","#ED0000","137728"
"24",1,"developed","Developed, High Intensity","#AA0000","137728"
"41",62,"forest","Deciduous Forest","#68AA63","137728"
"42",10,"forest","Evergreen Forest","#1C6330","137728"
"71",31,"herbaceous","Grassland/Herbaceous","#E2E2C1","137728"
"81",167,"planted","Pasture/Hay","#DBD83D","137728"
"82",157,"planted","Cultivated Crops","#AA7028","137728"
"95",12,"wetlands","Emergent Herbaceous Wetlands","#70A3BA","137728"
"code","n","class","description","color","llid"
"21",75,"developed","Developed, Open Space","#DDC9C9","7453"
"22",30,"developed","Developed, Low Intensity","#D89382","7453"
"23",5,"developed","Developed, Medium Intensity","#ED0000","7453"
"41",331,"forest","Deciduous Forest","#68AA63","7453"
"42",20,"forest","Evergreen Forest","#1C6330","7453"
"81",19,"planted","Pasture/Hay","#DBD83D","7453"
"code","n","class","description","color","llid"
"21",185,"developed","Developed, Open Space","#DDC9C9","4011"
"22",83,"developed","Developed, Low Intensity","#D89382","4011"
"23",7,"developed","Developed, Medium Intensity","#ED0000","4011"
"41",554,"forest","Deciduous Forest","#68AA63","4011"
"42",9,"forest","Evergreen Forest","#1C6330","4011"
"52",9,"shrubland","Scrub/Shrub","#CCBA7C","4011"
"71",71,"herbaceous","Grassland/Herbaceous","#E2E2C1","4011"
"81",53,"planted","Pasture/Hay","#DBD83D","4011"
"82",39,"planted","Cultivated Crops","#AA7028","4011"
"90",9,"wetlands","Woody Wetlands","#BAD8EA","4011"
"95",45,"wetlands","Emergent Herbaceous Wetlands","#70A3BA","4011"
"code","n","class","description","color","llid"
"21",28,"developed","Developed, Open Space","#DDC9C9","557"
"22",25,"developed","Developed, Low Intensity","#D89382","557"
"23",7,"developed","Developed, Medium Intensity","#ED0000","557"
"41",100,"forest","Deciduous Forest","#68AA63","557"
"42",15,"forest","Evergreen Forest","#1C6330","557"
"71",49,"herbaceous","Grassland/Herbaceous","#E2E2C1","557"
"81",151,"planted","Pasture/Hay","#DBD83D","557"
"82",96,"planted","Cultivated Crops","#AA7028","557"
"90",13,"wetlands","Woody Wetlands","#BAD8EA","557"
"95",44,"wetlands","Emergent Herbaceous Wetlands","#70A3BA","557"
"code","n","class","description","color","llid"
"21",63,"developed","Developed, Open Space","#DDC9C9","102826"
"22",27,"developed","Developed, Low Intensity","#D89382","102826"
"41",121,"forest","Deciduous Forest","#68AA63","102826"
"42",12,"forest","Evergreen Forest","#1C6330","102826"
"52",2,"shrubland","Scrub/Shrub","#CCBA7C","102826"
"71",7,"herbaceous","Grassland/Herbaceous","#E2E2C1","102826"
"81",1,"planted","Pasture/Hay","#DBD83D","102826"
"82",7,"planted","Cultivated Crops","#AA7028","102826"
"90",197,"wetlands","Woody Wetlands","#BAD8EA","102826"
"95",87,"wetlands","Emergent Herbaceous Wetlands","#70A3BA","102826"
"code","n","class","description","color","llid"
"21",117,"developed","Developed, Open Space","#DDC9C9","6487"
"22",56,"developed","Developed, Low Intensity","#D89382","6487"
"23",6,"developed","Developed, Medium Intensity","#ED0000","6487"
"24",1,"developed","Developed, High Intensity","#AA0000","6487"
"41",103,"forest","Deciduous Forest","#68AA63","6487"
"81",101,"planted","Pasture/Hay","#DBD83D","6487"
"82",5,"planted","Cultivated Crops","#AA7028","6487"
"95",1,"wetlands","Emergent Herbaceous Wetlands","#70A3BA","6487"
"code","n","class","description","color","llid"
"21",220,"developed","Developed, Open Space","#DDC9C9","902"
"22",223,"developed","Developed, Low Intensity","#D89382","902"
"23",59,"developed","Developed, Medium Intensity","#ED0000","902"
