"code","n","class","description","color","llid"
"52",29,"shrubland","Scrub/Shrub","#CCBA7C","3386"
"71",6,"herbaceous","Grassland/Herbaceous","#E2E2C1","3386"
"81",18,"planted","Pasture/Hay","#DBD83D","3386"
"82",82,"planted","Cultivated Crops","#AA7028","3386"
"code","n","class","description","color","llid"
"21",110,"developed","Developed, Open Space","#DDC9C9","2861"
"22",59,"developed","Developed, Low Intensity","#D89382","2861"
"23",20,"developed","Developed, Medium Intensity","#ED0000","2861"
"24",15,"developed","Developed, High Intensity","#AA0000","2861"
"41",1477,"forest","Deciduous Forest","#68AA63","2861"
"43",76,"forest","Mixed Forest","#B5C98E","2861"
"71",167,"herbaceous","Grassland/Herbaceous","#E2E2C1","2861"
"81",43,"planted","Pasture/Hay","#DBD83D","2861"
"82",137,"planted","Cultivated Crops","#AA7028","2861"
"code","n","class","description","color","llid"
"21",970,"developed","Developed, Open Space","#DDC9C9","3007"
"22",440,"developed","Developed, Low Intensity","#D89382","3007"
"23",171,"developed","Developed, Medium Intensity","#ED0000","3007"
"24",25,"developed","Developed, High Intensity","#AA0000","3007"
"31",4,"barren","Barren Land (Rock/Sand/Clay)","#B2ADA3","3007"
"41",3140,"forest","Deciduous Forest","#68AA63","3007"
"42",20,"forest","Evergreen Forest","#1C6330","3007"
"71",71,"herbaceous","Grassland/Herbaceous","#E2E2C1","3007"
"81",233,"planted","Pasture/Hay","#DBD83D","3007"
"82",128,"planted","Cultivated Crops","#AA7028","3007"
"90",38,"wetlands","Woody Wetlands","#BAD8EA","3007"
"95",10,"wetlands","Emergent Herbaceous Wetlands","#70A3BA","3007"
"code","n","class","description","color","llid"
"21",338,"developed","Developed, Open Space","#DDC9C9","2226"
"22",107,"developed","Developed, Low Intensity","#D89382","2226"
"23",134,"developed","Developed, Medium Intensity","#ED0000","2226"
"24",35,"developed","Developed, High Intensity","#AA0000","2226"
"31",19,"barren","Barren Land (Rock/Sand/Clay)","#B2ADA3","2226"
"41",6878,"forest","Deciduous Forest","#68AA63","2226"
"42",35,"forest","Evergreen Forest","#1C6330","2226"
"43",49,"forest","Mixed Forest","#B5C98E","2226"
"52",13,"shrubland","Scrub/Shrub","#CCBA7C","2226"
"71",119,"herbaceous","Grassland/Herbaceous","#E2E2C1","2226"
"81",425,"planted","Pasture/Hay","#DBD83D","2226"
"82",77,"planted","Cultivated Crops","#AA7028","2226"
"code","n","class","description","color","llid"
"21",15,"developed","Developed, Open Space","#DDC9C9","1637"
"22",7,"developed","Developed, Low Intensity","#D89382","1637"
"41",914,"forest","Deciduous Forest","#68AA63","1637"
"42",42,"forest","Evergreen Forest","#1C6330","1637"
"43",15,"forest","Mixed Forest","#B5C98E","1637"
"52",4,"shrubland","Scrub/Shrub","#CCBA7C","1637"
"81",71,"planted","Pasture/Hay","#DBD83D","1637"
"82",15,"planted","Cultivated Crops","#AA7028","1637"
"95",7,"wetlands","Emergent Herbaceous Wetlands","#70A3BA","1637"
"code","n","class","description","color","llid"
"21",18,"developed","Developed, Open Space","#DDC9C9","6874"
"22",2,"developed","Developed, Low Intensity","#D89382","6874"
"41",30,"forest","Deciduous Forest","#68AA63","6874"
"82",64,"planted","Cultivated Crops","#AA7028","6874"
"90",6,"wetlands","Woody Wetlands","#BAD8EA","6874"
"code","n","class","description","color","llid"
"21",256,"developed","Developed, Open Space","#DDC9C9","7032"
"22",55,"developed","Developed, Low Intensity","#D89382","7032"
"23",28,"developed","Developed, Medium Intensity","#ED0000","7032"
"24",2,"developed","Developed, High Intensity","#AA0000","7032"
"41",6196,"forest","Deciduous Forest","#68AA63","7032"
"71",89,"herbaceous","Grassland/Herbaceous","#E2E2C1","7032"
"81",517,"planted","Pasture/Hay","#DBD83D","7032"
"82",556,"planted","Cultivated Crops","#AA7028","7032"
"95",6,"wetlands","Emergent Herbaceous Wetlands","#70A3BA","7032"
"code","n","class","description","color","llid"
"21",30,"developed","Developed, Open Space","#DDC9C9","1935"
"22",159,"developed","Developed, Low Intensity","#D89382","1935"
"23",15,"developed","Developed, Medium Intensity","#ED0000","1935"
"90",10,"wetlands","Woody Wetlands","#BAD8EA","1935"
"95",8,"wetlands","Emergent Herbaceous Wetlands","#70A3BA","1935"
"code","n","class","description","color","llid"
"21",95,"developed","Developed, Open Space","#DDC9C9","6970"
"22",19,"developed","Developed, Low Intensity","#D89382","6970"
"23",8,"developed","Developed, Medium Intensity","#ED0000","6970"
"24",1,"developed","Developed, High Intensity","#AA0000","6970"
"41",2749,"forest","Deciduous Forest","#68AA63","6970"
"42",1,"forest","Evergreen Forest","#1C6330","6970"
"71",7,"herbaceous","Grassland/Herbaceous","#E2E2C1","6970"
"82",3,"planted","Cultivated Crops","#AA7028","6970"
"code","n","class","description","color","llid"
"21",1805,"developed","Developed, Open Space","#DDC9C9","3452"
"22",2085,"developed","Developed, Low Intensity","#D89382","3452"
"23",762,"developed","Developed, Medium Intensity","#ED0000","3452"
"24",125,"developed","Developed, High Intensity","#AA0000","3452"
"41",544,"forest","Deciduous Forest","#68AA63","3452"
"42",9,"forest","Evergreen Forest","#1C6330","3452"
"71",119,"herbaceous","Grassland/Herbaceous","#E2E2C1","3452"
"81",6,"planted","Pasture/Hay","#DBD83D","3452"
"82",629,"planted","Cultivated Crops","#AA7028","3452"
"90",9,"wetlands","Woody Wetlands","#BAD8EA","3452"
"95",1843,"wetlands","Emergent Herbaceous Wetlands","#70A3BA","3452"
"code","n","class","description","color","llid"
"21",13,"developed","Developed, Open Space","#DDC9C9","4417"
"22",2,"developed","Developed, Low Intensity","#D89382","4417"
"41",44,"forest","Deciduous Forest","#68AA63","4417"
"81",63,"planted","Pasture/Hay","#DBD83D","4417"
"82",84,"planted","Cultivated Crops","#AA7028","4417"
"90",39,"wetlands","Woody Wetlands","#BAD8EA","4417"
"95",40,"wetlands","Emergent Herbaceous Wetlands","#70A3BA","4417"
"code","n","class","description","color","llid"
"43",12,"forest","Mixed Forest","#B5C98E","5331"
"81",124,"planted","Pasture/Hay","#DBD83D","5331"
"90",72,"wetlands","Woody Wetlands","#BAD8EA","5331"
"code","n","class","description","color","llid"
"21",103,"developed","Developed, Open Space","#DDC9C9","4284"
"22",271,"developed","Developed, Low Intensity","#D89382","4284"
